student_id,course_id,n,cogproc,male,female,friend,family,social,sad,anger,anx,negemo,posemo,affect,quant,number,interrog,compare,adj,verb,negate,conj,adverb,auxverb,prep,article,ipron,they,shehe,you,we,i,ppron,pronoun,function,Dic,Sixltr,WPS,Tone,Authentic,Clout,Analytic,WC
86446,AnPhA-S116-01,19,10.31105263,0.077894737,0.477894737,0.246315789,0,7.256315789,0.292631579,0.076315789,0.036842105,0.596315789,3.085263158,3.701052632,1.171578947,0.581052632,2.130526316,2.695263158,3.903157895,12.77526316,0.119473684,6.659473684,4.814736842,8.013157895,11.48578947,6.788947368,4.035789474,0.471052632,0.386315789,4.146315789,1.057368421,2.945263158,9.008947368,13.04315789,48.22631579,71.98315789,13.71105263,16.59894737,47.23947368,38.43210526,65.64842105,61.07631579,55.89473684
86451,AnPhA-S116-01,25,9.4352,0.3032,0.0828,0.0784,0.1752,5.6936,0.3968,0.18,0.0964,1.1348,4.4516,5.598,1.83,1.294,1.7332,1.514,3.548,11.7392,0.6104,8.2108,5.5792,6.6692,11.136,7.444,4.9632,0.318,0,1.9504,0.2292,4.1616,6.658,11.622,46.576,75.9632,18.7548,16.8464,52.8364,31.0052,53.2808,60.0988,74.24
86455,FrScA-S116-01,30,17.65766667,0.28,0.169333333,0.085333333,0.319,4.724666667,0,0.307666667,0.042666667,0.496,10.817,11.365,3.455666667,0.604333333,0.69,3.631,6.884,15.789,0.935,5.158333333,7.440333333,9.298,8.815666667,6.911333333,5.049,0.935333333,0.302,0.679333333,0.277666667,4.762,6.957,12.005,47.03733333,86.10766667,14.92033333,11.356,78.31733333,48.03533333,38.94333333,55.03566667,41.26666667
86455,OcnA-S216-01,30,17.65766667,0.28,0.169333333,0.085333333,0.319,4.724666667,0,0.307666667,0.042666667,0.496,10.817,11.365,3.455666667,0.604333333,0.69,3.631,6.884,15.789,0.935,5.158333333,7.440333333,9.298,8.815666667,6.911333333,5.049,0.935333333,0.302,0.679333333,0.277666667,4.762,6.957,12.005,47.03733333,86.10766667,14.92033333,11.356,78.31733333,48.03533333,38.94333333,55.03566667,41.26666667
86460,OcnA-S116-01,14,15.78642857,0.454285714,0.436428571,0.187857143,0.312142857,9.584285714,0,0.092142857,0.204285714,0.439285714,4.532857143,4.97,1.205714286,0.94,1.503571429,1.101428571,2.831428571,16.70571429,1.789285714,6.379285714,7.374285714,8.566428571,13.34285714,5.796428571,6.027142857,1.489285714,0.374285714,2.208571429,1.365,4.443571429,9.879285714,15.90642857,55.73428571,84.92642857,18.14714286,19.01928571,77.19857143,50.72,62.06714286,50.28714286,83.14285714
86476,AnPhA-S116-01,43,12.99930233,0.694883721,0.113488372,0.977906977,0.170232558,7.514186047,0.043023256,0.131395349,0.109069767,0.686511628,4.271162791,4.966511628,1.936046512,1.090232558,1.832790698,2.102093023,4.310465116,15.61790698,1.108604651,6.650697674,6.269302326,9.081627907,10.96465116,6.796976744,5.362790698,0.911162791,0.66744186,1.859302326,0.179302326,3.966976744,7.584651163,12.94744186,49.80837209,79.73046512,16.63674419,16.72162791,67.39953488,43.59976744,53.48023256,54.93139535,83.53488372
86476,FrScA-S116-01,43,12.99930233,0.694883721,0.113488372,0.977906977,0.170232558,7.514186047,0.043023256,0.131395349,0.109069767,0.686511628,4.271162791,4.966511628,1.936046512,1.090232558,1.832790698,2.102093023,4.310465116,15.61790698,1.108604651,6.650697674,6.269302326,9.081627907,10.96465116,6.796976744,5.362790698,0.911162791,0.66744186,1.859302326,0.179302326,3.966976744,7.584651163,12.94744186,49.80837209,79.73046512,16.63674419,16.72162791,67.39953488,43.59976744,53.48023256,54.93139535,83.53488372
86479,AnPhA-S116-01,24,12.24875,0,0,0.049583333,0,8.738333333,0.100416667,0.015,0.23375,0.862916667,4.8375,5.78,2.24,0.803333333,1.72375,1.160833333,3.620833333,13.28208333,0.452916667,5.827916667,6.007083333,7.32875,11.25125,5.4325,8.347916667,0.406666667,0,3.07375,2.017083333,3.427083333,8.926666667,17.27458333,50.5525,80.78875,17.57791667,13.4575,68.30666667,30.32791667,73.73541667,51.64833333,69.16666667
86484,AnPhA-S116-01,20,9.885,0.545,0.175,0.876,0.1765,7.1045,0.047,0.234,0.2035,0.751,7.049,7.8,1.03,1.1725,0.987,1.8395,4.2245,13.594,0.5335,6.304,4.5555,7.0475,11.2675,8.5865,4.6525,0.3805,0.417,1.596,0.0625,4.3285,6.7825,11.4355,46.5075,77.3585,18.3675,15.462,69.296,24.3635,55.7165,66.371,74
86488,AnPhA-S116-01,25,11.3212,0.864,0.332,0,0.268,8.9796,0.7892,0.0108,0.158,1.366,4.366,5.7324,1.1944,1.4332,1.7948,2.0488,4.0424,16.3888,1.0076,6.3748,5.0836,9.8316,10.0508,7.5336,5.63,0.9484,1.026,3.8244,0,3.7976,9.5964,15.2248,52.1256,79.7032,13.5052,15.2532,56.6852,28.6512,55.31,49.8116,68.24
